Origin,Destination,Sun,Mon,Tu,Wed,Thu,Fri,Sat,Airline,Time,Duration,non-stop,new day
Bangkok,Dubai,436,437,437,437,436,436,436,Etihad-Bangkok Airways,8:55-12:40,6hr45min,yes,no
Bangkok,Dubai,483,460,460,460,461,528,528,Emirates,9:30-13:15,6hr45min,yes,no
Bangkok,Dubai,483,460,460,460,461,566,605,Emirates,20:35-0:50,7hr15min,yes,yes
Bangkok,Hong Kong,46,46,112,138,138,138,138,Hong Kong Airlines,5:05-8:50,2hr45min,yes,no
Bangkok,Hong Kong,132,133,132,165,131,149,134,Thai AirAsia,10:00-13:40,2hr40min,yes,no
Bangkok,Hong Kong,149,197,350,302,302,350,350,Emirates,13:45-17:40,2hr55min,yes,no
Bangkok,Istanbul,481,481,481,481,481,481,481,THAI,23:45- 6:05,10hr20min,yes,yes
Bangkok,Istanbul,670,670,670,670,670,677,677,Turkish Airlines,6:25-13:20,10hr55min,yes,no
Bangkok,Istanbul,670,670,670,670,670,677,677,Turkish Airlines,22:55-5:50,10hr55min,yes,yes
Bangkok,Kuala Lumpur,83,94,83,83,83,83,83,Thai AirAsia,12:55-16:15,2hr20min,yes,no
Bangkok,Kuala Lumpur,98,98,105,98,98,98,98,Malindo Air,9:05-12:20,2hr15min,yes,no
Bangkok,Kuala Lumpur,100,109,109,109,124,100,100,Malaysia Airlines,20:05-23:20,2hr15min,yes,no
Bangkok,London,487,487,487,516,516,716,837,THAI,0:15-6:20,13hr5min,yes,no
Bangkok,London,609,588,588,596,609,770,837,THAI,13:20-19:35,13hr15min,yes,no
Bangkok,London,626,609,609,626,716,787,1689,EVA Air,13:00-19:20,13hr20min,yes,no
Bangkok,Macau,157,157,217,157,187,134,134,Thai AirAsia,19:25-23:05,2hr35min,yes,no
Bangkok,Macau,133,134,134,134,134,157,217,Thai AirAsia,6:45-10:20,2hr35min,yes,no
Bangkok,Macau,134,157,247,134,134,217,156,Thai AirAsia,13:50-17:25,2hr35min,yes,no
Bangkok,New York City,805,786,786,786,786,805,1366,Qatar Airways,8:25-22:20,25hr55min,no,no
Bangkok,New York City,795,693,605,888,1117,1131,972,Etihad,8:55-9:30,36hr35min,no,yes
Bangkok,New York City,917,836,1019,1019,1019,1019,1019,Emirates,3:10-13:55,22hr45min,no,no
Bangkok,Paris,536,477,477,477,505,536,702,THAI,0:05-6:50,12hr45min,yes,no
Bangkok,Paris,695,666,666,666,666,695,980,Air France,11:30-18:45,13hr15min,yes,no
Bangkok,Paris,508,508,508,508,508,614,873,SWISS,13:20-22:15,14hr55min,no,no
Bangkok,Singapore,121,140,140,121,140,121,140,Thai Lion Air,7:35-11:00,2hr25min,yes,no
Bangkok,Singapore,121,178,174,176,174,139,141,Thai AirAsia,7:00-10:30,2hr30min,yes,no
Bangkok,Singapore,148,148,148,126,126,126,170,Jetstar,9:20-12:55,2hr35min,yes,no
Dubai,Bangkok,612,570,570,570,703,654,570,Air Arabia,22:20-7:20,6hr0min,yes,yes
Dubai,Bangkok,697,629,697,1032,697,697,629,Emirates,3:05-12:05,6hr0min,yes,no
Dubai,Bangkok,678,678,798,678,798,825,678,Etihad,10:30-19:30,6hr0min,yes,no
Dubai,Hong Kong,692,692,692,692,692,692,692,Emirates,3:30-14:45,7hr15min,yes,no
Dubai,Hong Kong,692,692,692,692,692,692,692,Emirates,10:40-21:50,7hr10min,yes,no
Dubai,Hong Kong,692,692,692,692,692,692,692,Cathay Pacific,23:40-10:45,7hr5min,yes,yes
Dubai,Istanbul,115,85,85,124,93,168,105,Pegasus,5:05-9:05,5hr0min,yes,no
Dubai,Istanbul,164,167,139,270,145,242,139,Turkish Airlines,5:00-9:00,5hr0min,yes,no
Dubai,Istanbul,253,164,143,143,143,143,143,Air Arabia,19:45-23:40,4hr55min,yes,no
Dubai,Kuala Lumpur,610,610,744,744,1013,812,610,Emirates,3:30-14:35,7hr5min,yes,no
Dubai,Kuala Lumpur,486,642,458,710,738,654,682,Air Arabia,21:45-8:40,6hr55min,yes,yes
Dubai,Kuala Lumpur,638,646,638,646,638,665,665,Etihad,23:35-10:40,7hr5min,yes,yes
Dubai,London,398,398,504,504,540,540,540,British Airways,13:35-17:25,7hr50min,yes,no
Dubai,London,548,548,548,548,548,548,548,Emirates,8:20-12:10,7hr50min,yes,no
Dubai,London,548,548,548,548,548,616,548,Emirates,2:50-6:40,7hr50min,yes,no
Dubai,Macau,521,572,545,491,545,521,545,China Eastern,21:05-15:30,14hr25min,no,yes
Dubai,Macau,530,520,488,497,488,497,452,Cebu Pacific,23:10-21:40,18hr30min,no,yes
Dubai,Macau,602,727,994,727,994,994,727,Singapore Airlines,20:00-17:40,17hr40min,no,yes
Dubai,New York City,738,738,738,738,738,738,904,United,2:15-8:50,15hr35min,yes,no
Dubai,New York City,959,959,959,959,959,959,1128,Emirates,8:30-13:55,14hr25min,yes,no
Dubai,New York City,1049,1217,1217,1217,1217,1343,1174,Etihad,10:10-15:55,14hr45min,yes,no
Dubai,Paris,556,556,556,556,556,594,594,Air France,1:30-6:05,7hr35min,yes,no
Dubai,Paris,594,594,594,594,594,659,659,Emirates,2:50-7:30,7hr40min,yes,no
Dubai,Paris,564,564,564,564,564,591,591,Etihad,2:40-7:05,7hr25min,yes,no
Dubai,Singapore,540,943,943,540,943,608,608,Emirates,21:15-8:25,7hr10min,yes,yes
Dubai,Singapore,1013,643,776,978,708,804,670,Etihad,22:15-9:35,7hr20min,yes,yes
Dubai,Singapore,589,589,972,766,972,972,766,Singapore Airlines,20:00-7:15,7hr15min,yes,yes
Hong Kong,Bangkok,162,120,148,148,148,148,103,Thai AirAsia,20:10-22:15,3hr5min,yes,no
Hong Kong,Bangkok,183,147,162,147,150,150,125,Hong Kong Express,16:25-18:30,3hr5min,yes,no
Hong Kong,Bangkok,209,209,296,209,347,244,209,Hong Kong Airlines,16:55-19:10,3hr15min,yes,no
Hong Kong,Dubai,867,681,454,454,454,454,454,Emirates,0:35-5:40,9hr5min,yes,no
Hong Kong,Dubai,454,454,454,454,454,454,454,Emirates,18:00-23:05,9hr5min,yes,no
Hong Kong,Dubai,667,667,549,667,667,667,667,Cathay Pacific,17:00-22:05,9hr5min,yes,no
Hong Kong,Istanbul,885,789,789,789,789,789,789,Turkish Airlines,23:30-6:25,11hr55min,yes,yes
Hong Kong,Istanbul,498,488,488,488,488,507,507,Qatar Airways,0:30-12:10,16hr40min,no,no
Hong Kong,Istanbul,912,728,912,840,912,912,840,THAI,20:45-6:05,14hr20min,no,yes
Hong Kong,Kuala Lumpur,141,141,181,141,141,141,129,AirAsia,21:20-1:20,4hr0min,yes,yes
Hong Kong,Kuala Lumpur,181,181,203,181,181,141,129,AirAsia,15:30-19:25,3hr55min,yes,no
Hong Kong,Kuala Lumpur,184,214,214,184,184,159,159,Malindo Air,15:10-19:00,3hr50min,yes,no
Hong Kong,London,604,604,604,604,604,604,604,Cathay Pacific,8:25-15:00,14hr35min,yes,no
Hong Kong,London,604,604,803,803,1044,604,604,Cathay Pacific,13:30-20:10,14hr40min,yes,no
Hong Kong,London,815,815,928,928,928,815,778,British Airways,23:40-6:25,14hr45min,yes,yes
Hong Kong,Macau,190,233,229,169,153,169,160,XienAir,12:20-16:55,28hr35min,no,yes
Hong Kong,Macau,302,326,330,188,201,288,275,China Eastern,7:40-15:30,7hr50min,no,no
Hong Kong,Macau,326,395,413,190,180,330,225,China Eastern,12:30-20:20,7hr50min,no,no
Hong Kong,New York City,1075,1241,1241,1241,1241,1241,1241,Cathay Pacific,3:20-6:00,15hr40min,yes,no
Hong Kong,New York City,1075,1241,1075,1241,1241,1241,1424,Cathay Pacific,9:30-12:10,15hr40min,yes,no
Hong Kong,New York City,1075,1241,1241,1664,1424,1424,1424,Cathay Pacific,16:20-19:05,15hr45min,yes,no
Hong Kong,Paris,834,834,834,834,834,834,834,Cathay Pacific,10:05-7:35,16hr20min,yes,no
Hong Kong,Paris,840,840,840,840,840,840,840,Air France,22:40-5:50,14hr10min,yes,yes
Hong Kong,Paris,477,467,467,467,467,353,487,Qatar Airways,0:30-13:15,19hr45min,no,no
Hong Kong,Singapore,273,273,228,190,137,161,190,Scoot,21:55-2:00,4hr5min,yes,yes
Hong Kong,Singapore,326,326,326,228,228,228,228,Scoot,11:10-15:10,4hr0min,yes,no
Hong Kong,Singapore,461,837,837,837,837,613,461,Singapore Airlines,12:30-16:30,4hr0min,yes,no
Istanbul,Bangkok,1006,1006,2437,1006,1006,573,572,THAI,16:30-5:35,9hr5min,yes,yes
Istanbul,Bangkok,832,1155,1527,1155,1155,1170,1170,Turkish Airlines,1:55-15:20,9hr25min,yes,no
Istanbul,Bangkok,928,1155,1036,1527,1527,1542,1170,Turkish Airlines,20:50-10:10,9hr20min,yes,yes
Istanbul,Dubai,221,221,221,221,221,221,221,Etihad,7:25-12:55,4hr30min,yes,no
Istanbul,Dubai,228,261,237,228,244,237,244,Air Arabia,14:35-20:00,4hr25min,yes,no
Istanbul,Dubai,232,232,279,279,350,279,412,Emirates,1:45-7:10,4hr25min,yes,no
Istanbul,Hong Kong,908,908,908,908,908,908,908,Turkish Airlines,2:00-17:00,10hr0min,yes,no
Istanbul,Hong Kong,911,911,962,1037,970,922,1047,Qatar Airways,13:45-15:10,20hr25min,no,yes
Istanbul,Hong Kong,728,1331,3900,1331,1523,1906,728,THAI,16:30-11:45,14hr15min,no,yes
Istanbul,Kuala Lumpur,903,996,903,1307,996,996,1107,Turkish Airlines,17:10-8:15,10hr5min,yes,yes
Istanbul,Kuala Lumpur,996,996,996,1671,1510,1403,1403,Turkish Airlines,1:50-17:05,10hr15min,yes,no
Istanbul,Kuala Lumpur,632,674,674,927,965,927,908,Air Arabia,14:35-8:40,13hr5min,yes,yes
Istanbul,London,32,32,42,58,80,106,171,Wizz Air,22:05-23:10,4hr5min,yes,no
Istanbul,London,161,161,151,147,147,168,203,Turkish Airlines,8:20-9:30,4hr10min,yes,no
Istanbul,London,90,124,152,152,152,221,278,British Airways,14:55-16:00,4hr5min,yes,no
Istanbul,Macau,1020,1020,1020,870,870,1020,1020,Singapore Airlines,13:25-17:40,23hr15min,no,yes
Istanbul,Macau,1353,1401,1401,1603,1603,1401,1603,Turkish Airlines,1:55-15:50,32hr55min,no,yes
Istanbul,Macau,1353,1839,1353,1366,1353,1353,1353,Turkish Airlines,2:20-17:05,33hr45min,no,yes
Istanbul,New York City,598,598,598,589,598,638,627,Turkish Airlines,7:55-11:10,11hr15min,yes,no
Istanbul,New York City,598,598,598,598,598,638,638,Turkish Airlines,19:10-22:35,11hr25min,yes,no
