index,org,dest,days,visiting_city_number,date,people_number,local_constraint,budget,unsat_number,unsat_reason
1,Paris,"['Kuala Lumpur']",3,1,"['2023-12-28', '2023-12-29', '2023-12-30']",2,"{'flight rule': 'non-stop', 'airlines': None, 'attraction_category': None}",5000,1,"['non-stop']"
2,New York City,"['Singapore', 'Bangkok']",5,2,"['2023-12-26', '2023-12-27', '2023-12-28', '2023-12-29', '2023-12-30']",1,"{'flight rule': 'non-stop', 'airlines': None, 'attraction_category': ['Nature preserve']}",5000,1,"['non-stop']"
3,Dubai,"['Istanbul', 'Paris', 'Macau']",7,3,"['2023-12-24', '2023-12-25', '2023-12-26', '2023-12-27', '2023-12-28', '2023-12-29', '2023-12-30']",5,"{'flight rule': 'non-stop', 'airlines': None, 'attraction_category': None}",50000,1,"['non-stop']"
4,Dubai,"['Paris']",3,1,"['2023-12-25', '2023-12-26', '2023-12-27']",1,"{'flight rule': 'non-stop', 'airlines': ['United'], 'attraction_category': None}",3000,1,"['airlines']"
5,Istanbul,"['Macau', 'Hong Kong']",5,2,"['2023-12-26', '2023-12-27', '2023-12-28', '2023-12-29', '2023-12-30']",1,"{'flight rule': None, 'airlines': ['United', 'Turkish Airlines'], 'attraction_category': None}",10000,1,"['airlines']"
6,Kuala Lumpur,"['Istanbul', 'Paris', 'Dubai']",7,3,"['2023-12-24', '2023-12-25', '2023-12-26', '2023-12-27', '2023-12-28', '2023-12-29', '2023-12-30']",1,"{'flight rule': None, 'airlines': ['Turkish Airlines'], 'attraction_category': None}",50000,1,"['airlines']"
7,Hong Kong,"['Paris']",3,1,"['2023-12-25', '2023-12-26', '2023-12-27']",2,"{'flight rule': 'non-stop', 'airlines': ['Air France'], 'attraction_category': ['Botanical garden']}",5000,1,"['attraction']"
8,Singapore,"['Paris', 'London']",5,2,"['2023-12-26', '2023-12-27', '2023-12-28', '2023-12-29', '2023-12-30']",2,"{'flight rule': None, 'airlines': ['Singapore Airlines', 'British Airways'], 'attraction_category': ['Hindu temple']}",10000,1,"['attraction']"
9,Macau,"['Hong Kong', 'Bangkok', 'Singapore']",7,3,"['2023-12-24', '2023-12-25', '2023-12-26', '2023-12-27', '2023-12-28', '2023-12-29', '2023-12-30']",2,"{'flight rule': None, 'airlines': None, 'attraction_category': ['Public library', 'Memorial park']}",50000,1,"['attraction']"
10,Bangkok,"['Dubai']",3,1,"['2023-12-25', '2023-12-26', '2023-12-27']",2,"{'flight rule': 'non-stop', 'airlines': None, 'attraction_category': None}",2000,1,"['budget']"
